Date,Location (according to buggy OCR)
10/10/2015,ELLSWORTH ST / CHANNING WAY-
10/10/2015,2000 FOLIRTH ST
10/10/2015,2400 WARRING ST
10/10/2015,2300 WARRING ST
10/10/2015,2500 DANA ST
10/10/2015,2100 UNIVERSITY AVE
10/10/2015,2300 BLAKE ST
10/10/2015,2400 FULTON ST
10/10/2015,1200 HASKELL ST
10/10/2015,2500 BENVENUE AVE
10/10/2015,900 INDIAN ROCK AVE
10/10/2015,2100 MCKINLEY AVE
10/10/2015,2400 WARRING ST
10/10/2015,3000 HALCYON CT
10/10/2015,CURTIS ST / ADDISON ST
10/10/2015,2400 ELLSWORTH ST
10/10/2015,2200 HASTE ST
10/10/2015,1800 BERKELEY WAY
10/10/2015,2300 LE CONTE AVE
10/10/2015,2300 CHANNING WAY
10/10/2015,3200 CALIFORNIA ST
10/10/2015,2000 HEARST AVE
10/10/2015,2600 SAN PABLO AVE
10/11/2015,3100 SHA'ITUCK AVE
10/10/2015,2000 DURANT AVE
10/11/2015,2500 BENVENLIE AVE
10/11/2015,2000 HEARST AVE
10/11/2015,900 INDIAN ROCK AVE
10/11/2015,2300 WARRING ST
10/11/2015,DWIGHT WAY/ REGENT ST
10/11/2015,2500 HILLEGASS AVE
10/11/2015,BANCROFT WAY / SIXTH ST
10/11/2015,2400 DWIGHT WAY
10/11/2015,DELAWARE ST/ FRANKLIN ST
10/11/2015,2500 HILLEGASS AVE
10/11/2015,2300 DURANT AVE
10/11/2015,2200 WARD ST
10/11/2015,2600 COLLEGE AVE
10/12/2015,1700 UNIVERSITY AVE
10/12/2015,2400 STUART ST
10/12/2015,23OOSAN PABLO AVE
10/12/2015,2500 RIDGE RD
10/13/2015,2300 COLLEGE AVE
10/13/2015,HEARST AVE/ M L KING JR WAY
10/13/2015,2000 SHATFUCK AVE
10/13/2015,2700 PARK ST
10/13/2015,1500 MILVIA ST
10/14/2015,1200 HEARST AVE
10/14/2015,1900 M L KING JR WAY
10/14/2015,2300 TENTH ST
10/14/2015,1700 HARMON ST
10/14/2015,1700 HARMON ST
10/14/2015,HASTE ST/ ELLSWORTH ST
10/15/2015,PAGE ST/ TENTH ST
10/15/2015,1600 WALNUT ST
10/15/2015,2600 BENVENUE AVE
10/15/2015,3200 ADELINE ST
10/15/2015,2000 BLAKE ST
10/15/2015,PAGE ST / TENTH ST
10/15/2015,2700 CHANNING WAY
10/16/2015,2600 BANCROFT WAY
10/16/2015,2600 PARKER ST
10/16/2015,2300 WARRING ST
10/16/2015,2900 OTIS ST
10/16/2015,2200 CHANNING WAY
10/16/2015,1000 CRAGMONT AVE
10/16/2015,2400 ELLSWORTH ST
10/16/2015,2400 STUART ST
10/16/2015,2300 COLLEGE AVE
10/16/2015,2000 HASTE ST
10/16/2015,2500 BENVENUE AVE
10/16/2015,2300 COLLEGE AVE
10/16/2015,2800 PARKER ST
10/17/2015,1900 MILVIA ST
10/17/2015,2400 CARLETON ST
10/17/2015,2100 CHANNING WAY
10/17/2015,2100 DELAWARE ST
10/17/2015,2700 CHANNING WAY
10/17/2015,2300 FULTON ST
10/17/2015,1800 SHATTUCK AVE
10/17/2015,2600 SAN PABLO'AVE
10/17/2015,2100 CHANNING WAY
10/17/2015,DURANT AVE / TELEGRAPH AVE
10/17/2015,2200 BLAKE ST
10/17/2015,2500 SAN PABLO AVE
10/17/2015,1700 LA LOMA AVE
10/17/2015,1700 HARMON ST
10/17/2015,2600 ELLSWORTH ST
10/17/2015,PARK ST
10/17/2015,2300 CHANNING WAY
10/17/2015,2400 WARRING ST
10/17/2015,2000 HASTE ST
10/17/2015,1300 RUSSELL ST
10/17/2015,2800 PARK ST
10/17/2015,2300 COLLEGE AVE
10/18/2015,3100 COLLEGE AVE
